objectid,filename,subject,title,format,description,creator,date,publisher,item_information,contributor,location,identifier,rights,rightsstatement,type,language
coll044,item44,"digitization strategy, national heritage, digitization, archives, archival materials, best practice",Building a Canadian national heritage digitization strategy,pdf,"""[A] national digitization program, in coordination with memory institutions across the country, must be planned and funded to bring Canada's cultural and scientific heritage into the digital era to ensure that we continue to understand the past and document the present as guides to future action.""--Page 4
",Library and Archives Canada ,2016,Library and Archives Canada,article,,"Ottowa, Ontario, Canada",960962558,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,article,English
coll045,item45,"Academic theses, Cultural property Digitization, Education, Museums",Optimizing the use of digitization technologies in museums,pdf,"Digital technologies are used mostly for artifact preservation, but they can also be used for educating people about those artifacts in a museum context. This paper investigates the way various age groups react differently to distinct kinds of digitization technology.",Emma Gunst,2021,Butler University,thesis,,Indiana,1289635674,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,thesis,English
coll046,item46,"digitization, archives, libraries, special collections, access",“Who’s Driving the Bus?” or How Digitization Is Influencing Archival Collections,pdf,"Archivists who work directly with unique collections, as well as librarians and other professionals who coordinate digitization, generally agree that access should be prioritized. However, each group has its own goals, standards, and timelines that may conflict with those of their colleagues.... ","David Gwynn, Beth Ann Koelsch, Kathelene McCarty Smith and Jennifer Motszko",2019,Yale University,article,,"New Haven, CT",1134992949,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,article,English
coll047,item47,"Archives, archival materials, digitization, digitization strategies",National heritage digitization strategy : digital preservation file format recommendations,pdf,This resource describes the digitization strategies used by the Canadian Heritage Information Network.,Ern Bieman,2019,Canadian Heritage,article,,"Ottowa, Ontario, Canada","9780660338408, 0660338408","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,article,"English, French"
coll048,item48,"Standards, digitization, metadata, metadata standards, digital preservation, MARC",MARC Standards,website,The official Library of Congress website on MARC.,Library of Congress,2023 (last updated),Library of Congress,guidelines,,"Library of Congress, Washington, DC",https://www.loc.gov/marc/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,guidelines,English
coll049,item49,"Digitization, digitization standards, best practices, guidelines",Selection for Digitization – Best Practices,website,This article lays out important factors to consider when selecting materials for digitization.,Margot Note,2018,Lucidea,article,,"Based in Canada, U.S, U.K., and Australia",https://lucidea.com/blog/selection-for-digitization/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,article,English
coll050,item50,"Digitization, digital preservation, digitization standards, best preactices, guidelines",Digital Preservation Handbook,website,The Handbook provides an internationally authoritative and practical guide to the subject of managing digital resources over time and the issues in sustaining access to them. It will be of interest to all those involved in the creation and management of digital materials.,Neil Beagrie ,,Digital Preservation Coalition,guidelines,Maggie Jones; William Kilbride; 45 other contributors ,"Glasgow, Scotland",https://www.dpconline.org/handbook,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,guidelines,"English, French, Italian"
coll051,item51,"Digitization, digital preservation, digitization standards, best preactices, guidelines, digital libraries",7 Best Practices for Creating a User Friendly Library Website,website,A challenging library website is a research roadblock to an already time-constrained student. This article offers 7 Best Practices to ensure your website is utilized by all your students and meets their expectations.,Khalilah Gambrell,2015,EBSCOpost,article,,United States,https://www.ebsco.com/blogs/ebscopost/7-best-practices-creating-user-friendly-library-website,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,article,English
coll052,item52,"Digitization, metadata, RDA, metadata standards, digital libraries",Resource Description and Access (RDA),website,An in-depth explanation of RDA classification standards.,Librarianship Studies and Information Technology,2021,Librarianship Studies and Information Technology,article,,United States,https://www.librarianshipstudies.com/2017/07/resource-description-and-access-rda.htmll,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,article,English
coll053,item53,"Digitization, metadata, DCMI, metadata standards, digital libraries",DCMI Metadata Terms,website,"This document is an up-to-date specification of all metadata terms maintained by the Dublin Core Metadata Initiative, including properties, vocabulary encoding schemes, syntax encoding schemes, and classes.",DCMI Usage Board,2020,DCMI,guidelines,,United States,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,guidelines,English
coll054,item54,"Digitization, classification, metadata, dewey decimal, software product, software",Organize your materials with the world's most widely used library classification system.,website,"WebDewey is the electronic version of the Dewey Decimal Classification® (DDC) system. It is a full representation of all published numbers, plus other mappings and new terms that have been approved by the Dewey Editorial Policy Committee (EPC). ",OCLC,2024,OCLC,software,,United States,https://www.oclc.org/en/dewey.html,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,software,English
coll055,item55,"Integrated Library Systems, software, digital library, digitization",The Integrated Library System (ILS) Primer,website,An integrated library system (ILS) consists of a series of interconnected operations that streamline input and retrieval of information for both information professionals and researchers.... ,Lucidea,2024,Lucidea,article/software,,United States,https://lucidea.com/special-libraries/the-integrated-library-system-ils-primer/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,article/software,English
coll056,item56,"Web Design, digital library, design ideas, digitization",Category: Web Design,website,An open online repository of interesting library-related design.,April Aultman Becker; Veronica Arellano Douglas,2012,Library Design Share,webpage,Naomi Gonzales; Jess Denke,United States,https://librariandesignshare.org/category/web-design/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,webpage,English
coll057,item57,"Computers, computer science, digital libraries, altmetrics, search, search functions","Altmetrics for Digital Libraries Concepts, Applications, Evaluation, and Recommendations",pdf,"The volume of scientific literature is increasing and researchers have difficulties in estimating their quality and relevance. Library portals, therefore, are getting more relevant by using quality indicators to help researchers during their research process. With the growing presence of social media, altmetrics have been proposed as complementary indicators to traditional measures. Altmetrics can help to identify online attention and can appear much faster than citations. This study explores altmetrics for filtering relevant articles (in library portals) within the discipline of Economic and Business Studies literature. Firstly, it highlights the altmetrics presence from Mendeley and Altmetric.com for the journals in the above-mentioned disciplines. It presents correlations between citation and altmetrics on article and journal level, suggesting Mendeley counts as an alternative indicator to citations. Afterward, it investigates the use of altmetrics data for potential users with interests in new trends, social media platforms, and journal rankings. Lastly, it explores the behavior of economic researchers using a survey by discovering the usefulness of different altmetrics. With the findings of this study, several forms of altmetrics in library portals are discussed, using EconBiz as the proof-of-concept, to assist both researchers and libraries to identify relevant journals or articles and to cope with the information overload.",Kaltrina Nuredini,2021,Logos Verlag Berlin,book,,"Berlin, Germany",https://torl.biblioboard.com/content/a00f04a5-4712-4eaf-a27f-02d6d2628eba,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,book,English
coll058,item58,"Digital libraries, information technology, methodology, guides",Digital Libraries - Methods and Applications,pdf,"""Digital library is commonly seen as a type of information retrieval system which stores and accesses digital content remotely via computer networks. However, the vision of digital libraries is not limited to technology or management, but user experience. This book is an attempt to share the practical experiences of solutions to the operation of digital libraries. To indicate interdisciplinary routes towards successful applications, the chapters in this book explore the implication of digital libraries from the perspectives of design, operation, and promotion. Without common agreement on a broadly accepted model of digital libraries, authors from diverse fields seek to develop theories and empirical investigations that to advance our understanding of digital libraries.""",Kuo-Hung Huang,2011,INTECH,book,,Netherlands,"978-953-307-203-6, 978-953-51-5513-3, 10.5772/608","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,book,English
coll059,item59,"Digitization, digital libraries, access, academic libraries","Digital Preservation, Accessibility, and Use of Electronic Theses and Dissertations in University Libraries in Nigeria",pdf,"Abstract
This study examined the concepts and aspects of digitization; digital preservation; digital resources; and access to, use of, and challenges posed by electronic theses and dissertations (ETDs) in university libraries in six geopolitical zones of Nigeria. It adopted a documentary research approach to highlight a critical examination of the various aspects of digitization (to provide electronic information services) as practiced by various university libraries and some library schools in Nigeria. Print theses and dissertations (T/Ds) are digitized by document scanning or direct text input (alphanumeric characters) into computer systems. Digital resources include e-books, e-journals, ETDs, and other forms of documents in electronic formats. ETDs are preserved through digitization, archiving, and creation of websites and databases as well as through floating institutional digital repositories (IDRs). ETD access is facilitated by tools such as automated library catalogs and classification schemes, online public access catalog, indexes, abstracts, bibliographies, and mobile devices such as smartphones and personal computers. ETDs are capable of meeting research and publication needs of teaching, information service delivery, and knowledge sharing. Challenges to digital preservation, access, and use of ETDs include inadequate information and communications technology (ICT) facilities, low ICT proficiency, and erratic power supply. Thus, this study recommended that management teams of universities in Nigeria commit adequate funding to procure ICT facilities, thus providing automatic standby generating plants and increasing incentives for library and digital preservation staff. Collaboration among stakeholders such as university libraries and the National Library of Nigeria should be encouraged to create a national union catalog of T/Ds in Nigerian universities and thus enable a platform for a national database. Access to IDRs will further strengthen worldwide university networking. This study will thus add value to the existing studies on ICT application in university libraries and e-resources in university libraries in Nigeria.","Abubakar Saka, Katamba; Yusufu, Abu; and Mommoh, Rose L.",2021,The Journal of Electronic Theses and Dissertations,scholarly article,,Nigeria,https://doi.org/10.52407/WBNW2510,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,scholarly article,English
coll060,item60,"Digitization, digital libraries, access, academic libraries, academic study",A study of the Awareness and Utilization of Digitized Resources in Selected University Libraries of Karnataka,pdf,"Abstract
Due to information explosion and overload of information, libraries are unable to procure or subscribe to the enormous published information. Libraries are finding it difficult to supply the most deemed reading materials such as reference, rare, career advancement, scholarly publications, government publications, and research related reading materials. Thus, to overcome this existing problem, now the libraries, especially university libraries are starting to digitize the value added reading materials and have made them available through a digital library, gateways, portals, archives, repositories, and consortium electronic platforms. In this context, the present study evaluates the awareness and utilization of digitized resources by users, i.e., postgraduate students, research scholars and faculty members of selected university libraries in Karnataka. A structured questionnaire was framed as a part of doctoral research and 346 questionnaires were distributed among users of selected university libraries that are providing digitized resources through various digital platforms. Further, the study examines the issues of frequent use of digitized resources, preferred document formats to view digital contents, preferred search terms to search and retrieve information and also assesses problems faced by the respondents while accessing ‘Digitized Resources’.",K N Lakshmipathi,2021,Library Philosophy and Practice (e-journal),scholarly article,Senhilkumar R.,"Nebraska, United States",https://digitalcommons.unl.edu/libphilprac/6747/?utm_source=digitalcommons.unl.edu%2Flibphilprac%2F6747&utm_medium=PDF&utm_campaign=PDFCoverPages,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,scholarly article,English
coll061,item61,"Digitization, digital libraries, access, academic libraries, academic study",Digitization of Assamese Literatures: A descriptive Study of Internet Archive ,pdf,"Abstract
Internet Archive is a well-known digital library of Websites, Books, Audio-Video, Softwares and other information media. The Open Library is a project undertaken by the Internet archive to collect books of different subjects of different language from different parts of the world and made it available for user in an open platform. The paper tries to evaluate and analyze the data of Assamese Languages books available in Open Library of Internet Archive. The paper focuses on collection of books according to subject, author, publisher, publication year etc. Total 2753 Assamese Books are archived in Open Library according to its statistics, where 225 books are bibliography, 27 books are written by Syed Abdul Malik, a famous Assamese writer. There are total 32 books on Srimanta Sankardev, a socio-cultural reformer of Assam.",NILAKSHI SHARMA ,2021,Library Philosophy and Practice (e-journal),scholarly article,Prof. S N Singh ,"Nebraska, United States",https://digitalcommons.unl.edu/libphilprac/6360/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,scholarly article,English
coll062,item62,"Digitization, digital libraries, access, academic libraries, academic study",The Creation of Primary Sources Digital Collections in an Academic Library ,pdf,"Abstract
This article discusses the creation of primary sources digital collections in an academic library, including implementation, work processes, digitization and providing accessibility of visual materials. These reflect the practical application of the approach developed in The Younes and Soraya Nazarian Library at the University of Haifa regarding the library's position in the field of digital collections. The article denotes the work process model created for these collections, from their reception, through classification, cataloging, scanning and digitization, and to the digital publishing which provides access. Special emphasis is given to practical ways to manage the challenges that arise from handing unique visual materials such as photos, albums, manuscripts, and maps.",Keren Barner ,2022,Library Philosophy and Practice (e-journal),scholarly article,,"Nebraska, United States",https://digitalcommons.unl.edu/libphilprac/7535/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,scholarly article,English
coll063,item63,"Digitization, digital libraries, access, academic libraries, academic study",Digitization of Information Resources in University Libraries in Nigeria: Challenges and W Nigeria: Challenges and Way Forward ,pdf,"Abstract
Libraries, archives, museums, and other memory institutions digitize items to preserve fragile materials and create more access points for patrons. The traditional role of the library as simply a place of storage and preservation of books and other information materials which has changed overwhelmingly since the advent of information and communication technologies (ICTs) Academic libraries are duly bound to acquire, preserve and disseminate information from whatever source, hence there is the need for such sources of information to be kept preserved and made available in a more convenient and accessible format. This calls for digitization which is the process of converting analog (print, carvings, artifacts and so on) materials to digital/electronic format. Digitization of information resources in Nigerian University libraries is still at nascent stage. Digitization projects in academic libraries in Nigeria are confronted by a number of challenges. These are essentially not peculiar to academic libraries in developing countries and Nigeria in particular in the efforts of libraries to contribute data to the global information resource base. First and foremost is inadequate funding. Funding for the purchase and maintenance of modern and state-of–the–art digital equipment remains a major constraint while others follow. There is the need for external funds to be injected into the learning base for digitization. The challenge of funding unearths the need for capacity-building in the area of grant-writing and sourcing for fund. Also, there is the need of digitization project equipment and collaboration between libraries and donor agencies to procure these equipment, train staff and organize seminars, workshops and conferences on digitization sensitization network. It can therefore be recommended that Nigerian government and other stakeholders should make education of her citizen a famous priority which boils down to library as an arm of education. The leaders should also be checked on the issue of corruption in other to ensure that the assigned fund for digitization projects are faithfully used to letter.",Peter Olubunmi Olubiyo ,2022,Library Philosophy and Practice (e-journal),scholarly article,"Nancy E. Achebe (Prof.), Lydia M. Olubiyo ","Nebraska, United States",https://digitalcommons.unl.edu/libphilprac/7444/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,scholarly article,English
coll064,item64,"Digitization, digital libraries, access, academic libraries, academic study",Scaling Up Video Digitization at the University of Maryland Libraries: A Case Study,pdf,"Abstract
In 2015, a team at the University of Maryland Libraries collaborated on a pilot project to digitize 100 VHS tapes from the Liz Lerman Dance Exchange collection and, in doing so, established organizational workflows for video digitization and access. After completing the pilot phase of the project, staff who worked on the project published a case study in this journal that articulated a question echoed throughout that process: “Is this enough?” Enough descriptive metadata? Enough technical metadata? Enough storage space? This article will reflect on the pilot project, detail how the digitization specifications and workflows established during the pilot project have changed over the intervening years, and how they were scaled-up to digitize and make accessible the remaining videos 1,125 videos in the collection under the auspices of a 2018 National Endowment for the Humanities grant.","Elizabeth M. Caringola, Pamela A. McClanahan, Robin C. Pike ",2022,"Provenance, Journal of the Society of Georgia Archivists ",scholarly article,,"Maryland, United States",https://digitalcommons.kennesaw.edu/provenance/vol38/iss1/1/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,scholarly article,English
coll065,item65,"Digitization, digital libraries, access, digitization project report",Digitizing and cataloging a corporate annual reports collection: a Canadian perspective,pdf,"Abstract
Corporate annual reports provide a snapshot of a company's operations and financial status. Reviewing and comparing years of annual reports can provide a rich history of knowledge on a corporation. Preserving, storing, and digitizing Canadian annual reports has been a mission of the C.B. “Bud” Johnston Library in London, Ontario, Canada. In late 2019 when Western Libraries migrated to a new library services platform, Alma, there was a new opportunity to catalog and provide access to the digitized annual reports collection. This article describes a decade long plan to digitize the print collection by library staff and a subsequent project to provide online access to the digitized content. Included is a discussion of cataloging methods, staffing, training, inventory control, and hosting solutions.","Alie Visser, Elizabeth Marshall, Joyce Cheung ",2022,Western Libraries Publications,scholarly article,,"California, United States",https://doi.org/10.1080/08963568.2022.2072460,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,scholarly article,English
coll066,item66,"Digitization, digital libraries, access, digitization project report",Making Hay While the Sun Shines: Answering the Urgency in Audiovisual Preservation,pdf,"Abstract
Many twentieth-century audiovisual formats are becoming obsolete and/or the physical carriers are deteriorating, warranting the need to digitize this content as soon as possible. Balancing efficiency and urgency with digitization and digital storage resources is a challenging endeavor. This article documents the efforts of the L. Tom Perry Special Collections (LTPSC) at Brigham Young University to begin a systematic effort to digitize audiovisual content found in manuscript collections.",Benjamin Harry ,2023,Journal of Western Archives,scholarly article,,"Utah, United States",https://digitalcommons.usu.edu/westernarchives/vol14/iss1/11,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,scholarly article,English
coll067,item67,"Digitization, digital libraries, access, metadata, academic study",Using Metadata To Mitigate The Risks Of Digitizing Archival Photographs Of Violence And Oppression ,pdf,"Abstract
Questioning the archival imperative of access, this research article discussed how descriptive metadata can be used to contextualize and problematize digitized archival photographs, which are often inadequately described in the digital environment. Beginning with literature review of atrocity photos and their use and digitization to discuss the risks inherent to disseminating photos of or born from violence. Review continued into the digital environment and the risks inherent to making difficult archival collections accessible online and the conflict between the right to privacy of the individuals represented in archival materials and the archival imperative to provide access.

Expanding on the recommendations made for ethical digitization of difficult or problematic archival collections made by scholars and groups such as Tara Robertson, the Archives for Black Lives in Philadelphia Anti-Racist Description Working Group. This article provided Case studies of a variety of digitized archival collections with offensive or violent contents and called for an acknowledgment of archival Labor in deciding which collections should be digitized and for a consensus on how to determine which collections need extra care and consideration in description.

This article criticized the way archival metadata schema and vocabulary reduce photographs to their visual content and provided case studies focusing on metadata. It also introduced contextualizing essays as a tool for critical description. and acknowledged that Metadata work should be used with other measures to ethically digitize and disseminate collections with violent or oppressive histories. It connected Saidiya Hartman’s concept of Critical fabulation to the contextualizing essay, concluding that metadata can be a tool for helping a user of a collection consider it in its historical and social context and provide a space for representing the experiences of those depicted in a collection, especially a collection with violent or problematic origins.",Claudia A. Mallea ,2023,Journal of Contemporary Archival Studies,scholarly article,,"Pittsburgh, United States",DOI: https://doi.org/10.55221/2572-7478.2402,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,scholarly article,English
coll068,item68,"Digitization, digital libraries, access, metadata, academic study",Academic Library Book Digitization and Contemplative Reading ,pdf,"Abstract
Since the beginning of this century, academic libraries have been at the forefront of book digitization and access. During this same period, many individuals have made the transition from reading printed materials to reading on screens. This change in reading habits has led to profound shifts in how libraries conceive their mission, how they structure their spaces, how they organize their resources, and where they allocate funds in their budgets. These changes have been reflected in the Library and Information Science literature, which now includes a rich corpus of research on the impact of digitization on librarians and library services. This article seeks to add to these discussions by exploring the literature on how e-resources impact reading habits, and specifically how these resources orient readers to approach texts with a mindset of efficiency rather than contemplation. After exploring this research, I will offer suggestions for how academic librarians can leverage the unique qualities of the physical book to encourage contemplative reading.",Robin Phillips,2023,The Christian Librarian,scholarly article,,"Oklahoma, United States",https://digital.sandiego.edu/symposium/2024/2024/7/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,scholarly article,English
coll069,item69,"digitization, project management, hybrid work, metadata
",Federal Reserve Bank of Chicago Circulars: A Case Study Early Career Librarian’s Approach to a Full-Scale Digitization Project ,pdf,"Abstract
Each Federal Reserve Bank distributes circulars to their member banks which contain information regarding bank supervision and regulation, services, policies, and district relations. The early circulars of a Reserve Bank, those issued after the Federal Reserve Act of 1913 and before the general regulation of the twelve Reserve Banks through the Banking Act of 1935, illuminate the idiosyncratic nature of the policies and procedures of each district.

In the summer of 2023, the Federal Reserve Bank of Chicago sent their circulars from the years 1914 to 1979 to the Digital History and Archives team at the Federal Reserve Bank of St. Louis to be digitized and uploaded to FRASER, the Federal Reserve System’s digital library of U.S. economic, financial, and banking history. The digitization of these archival materials would facilitate access of important historical and contextual information relating to the operations of the Chicago Fed, most notably the bank’s efforts to garner trust in the American people after the banking panics in the early 20th century, and during the World Wars.

This session is a case study of an early career librarian’s approach to a full-scale digitization project, including approaches to project management, hybrid work, and metadata creation. This digitization project also served as an in-depth orientation to the history of the Federal Reserve System and its Reserve Banks in the context of broader American history, in addition to the digitization processes and standards of FRASER.",Delaney McCoy ,2024,Digital Initiatives Symposium,scholarly article,,United States,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,scholarly article,English
coll070,item70,"digitization, provenance, digital preservation",Documentary Provenance and Digitized Collections: Concepts and Problems,pdf,"Abstract
Provenance research in digitized memory institution collections is mainly devoted to documenting and mapping the trajectories of the physical source documents across time, place and contexts, primarily by developing metadata standards and data models. The provenance of the digital reproduction and its relation to one or several physical source documents is however not being subjected to much inquiry. A possible explanation for this is the face-value approach with which we tend to regard digital reproductions. Looking more closely at such reproductions and their complex digitization process suggests a far from straightforward and linear provenance relation, and begs the question of what it is we actually see on the screen and what source document the digital reproduction purports to reproduce. To ascertain this provenance bond and hence the value, authenticity and usability of the digital reproduction, users need to be provided with keys such as a thorough account of the digitization process, access to various states of the digital images, exhaustive metadata for the reproduction, and not least paradata documenting the digitization process, including conversion, editing, curation, and decisions made during the process.","Mats Dahlström, Joacim Hansson",2019, Proceedings from the Document Academy,scholarly article,,"Ohio, United States",DOI: https://doi.org/10.35492/docam/6/1/8,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,scholarly article,English
coll071,item71,"digitization, born digital, research article","Paratext – a Useful Concept for the Analysis of Digital
Documents? ",pdf,"Abstract
In his study, Paratexts: Thresholds of Interpretation , the French literature scholar Gérard Genette introduces the concept of the “paratext” to the public. Genette explains the term paratext as that “what enables a text to become a book and to be offered as such to its readers and, more generally, to the public” (Genette 1997, 1).

Genette’s concept has since also been applied to other media, especially audiovisual forms, such as film and television. Film scholars are using the concept when analyzing the importance of opening scenes and credits in films , or the significance of different technologies in providing the viewer with extra material about the film. Other media scholars have applied the concept to computer games and gaming , electronic literature and digitized narratives.

The process of digitization, both the digitization of former analogue media like printed books and celluloid film and digital born material, raises new questions, especially in relation to the document’s materiality. Birke & Christ argue “that as long as a text […] is available in the form of a distinct physical object like the CD-ROM and is, as such, limited in its expanse, the concept of paratext can be applied productively”, while the concept “loses its analytic value at the moment when, on the World Wide Web, context […] moves so close to the text” that paratextual elements become “difficult to isolate and identify” (2013, 80). This paper takes this argument as its point of departure to discuss the paratextual elements of different digital documents, showing that the complexity of documents not necessarily is an argument against Genette’s concept.",Roswitha Skare ,2019,Proceedings from the Document Academy:,scholarly article,,"Ohio, United States",DOI: https://doi.org/10.35492/docam/6/1/12,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,scholarly article,English
